entry_name,saved_mol_path,mapping_csv_path,mapping_status,overall_status,align_status,post_flip_applied,host_refine_status,host_atoms_used_in_refine,host_rmsd_before_refine,host_rmsd_after_refine,n_frags_in_input,frag_sizes_in_input,host_atoms_total,host_atoms_heavy_noH,host_core_atoms_heavy_noH,guest_atoms_total,guest_atoms_heavy_noH,guest_depth_A_from_midpoint_to_O6,guest_depth_A_from_ref_midpoint_to_O6,guest_angle_deg_vs_axis,guest_rmsd_noH,guest_rmsd_status,guest_atoms_used_in_rmsd,guest_match_mode,guest_full_match_coverage_percent,guest_mcs_coverage_percent,guest_orientation,guest_orientation_status,guest_orientation_span_A,guest_orientation_distance_A,guest_orientation_atom_pair,guest_orientation_atoms_used,match_ref_matches_count,match_prb_matches_count,match_total_pairings,match_mapping_is_unique,match_best_rmsd_is_tie,match_best_rmsd_second_best_delta,guest_smiles_original_debug,guest_smiles_matching_debug,guest_ref_heavy_noH
A_Complex_GammaCD_midplaneZY (ref_unmodif),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\A_Complex_GammaCD_midplaneZY_(ref_unmodif).mol,,ref,ref,ref_noflip,0,ref,0,,,2,"168,20",168,88,56,20,12,2.2027272641815463,2.2027272641815463,14.883710188332344,,ref,0,ref,,,,ref,,,ref,0,,,,,,,REF=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1 | PRB=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1,REF=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1 | PRB=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1,12
Complex_GammaCD_midplaneZY (-3A),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Complex_GammaCD_midplaneZY_(-3A).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Matching_atoms\Complex_GammaCD_midplaneZY_(-3A).csv,ok,ok,ok_axis_frame_noflip,0,ok,56,2.00544E-15,2.00544E-15,2,"168,20",168,88,56,20,12,-0.79681592,-0.79681592,14.883710843582211,3.0000000546375927,ok,12,full_guest_strict,100,,1,ok,7.385893937,7.385893758732097,A: O169->O169 | B: C184->C184,12,1,1,1,1,0,,REF=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1 | PRB=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1,REF=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1 | PRB=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1,12
Complex_GammaCD_midplaneZY (-50z),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Complex_GammaCD_midplaneZY_(-50z).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Matching_atoms\Complex_GammaCD_midplaneZY_(-50z).csv,ok,ok,ok_axis_frame_noflip,0,ok,56,2.00544E-15,2.00544E-15,2,"168,20",168,88,56,20,12,1.9776118494610713,1.9776118494610713,61.68196036655261,1.9968915435501235,ok,12,full_guest_strict,100,,1,ok,7.385893937,7.385865236,A: O169->O169 | B: C183->C184,12,1,1,1,1,0,,REF=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1 | PRB=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1,REF=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1 | PRB=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1,12
Complex_GammaCD_midplaneZY (180y),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Complex_GammaCD_midplaneZY_(180y).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Matching_atoms\Complex_GammaCD_midplaneZY_(180y).csv,ok,ok,ok_axis_frame_noflip,0,ok,56,2.00544E-15,2.00544E-15,2,"168,20",168,88,56,20,12,1.0335836494497184,1.0335836494497181,15.12768414946595,4.889394299886008,ok,12,full_guest_strict,100,,0,ok,7.385893937,7.385893998707592,A: O169->O169 | B: C184->C184,12,1,1,1,1,0,,REF=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1 | PRB=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1,REF=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1 | PRB=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1,12
Complex_GammaCD_midplaneZY (180y_complex),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Complex_GammaCD_midplaneZY_(180y_complex).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_Align_molfiles\Matching_atoms\Complex_GammaCD_midplaneZY_(180y_complex).csv,ok,ok,ok_axis_frame_180_noflip,0,ok,56,1.80873E-07,1.80873E-07,2,"168,20",168,88,56,20,12,2.2027271865565448,2.202727194221577,14.883710143541977,1.11028E-07,ok,12,full_guest_strict,100,,1,ok,7.385893937,7.3858938774137055,A: O169->O169 | B: C184->C184,12,1,1,1,1,0,,REF=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1 | PRB=[O:169]:[C:183]([OH:170])[C:174]1:[C:175]([OH:171]):[CH:176]:[C:178]([O:173][CH3:184]):[CH:179]:[CH:181]:1,REF=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1 | PRB=[O:169][C:183]([O:170])[C:174]1[C:175]([O:171])[C:176][C:178]([O:173][C:184])[C:179][C:181]1,12
