entry_name,saved_mol_path,mapping_csv_path,mapping_status,overall_status,n_frags_in_input,frag_sizes_in_input,host_atoms_total,host_atoms_heavy_noH,guest_atoms_total,guest_atoms_heavy_noH,guest_ref_heavy_noH,cd_axis_dot_to_ref,cd_orientation_ok,guest_depth_A_from_midpoint_to_O6,guest_depth_A_from_ref_midpoint_to_O6,guest_angle_deg_vs_axis,guest_rmsd_noH,guest_rmsd_status,guest_atoms_used_in_rmsd,guest_match_mode,guest_full_match_coverage_percent,guest_mcs_coverage_percent,guest_orientation,guest_orientation_status,guest_orientation_span_A,guest_orientation_distance_A,guest_orientation_atom_pair,guest_orientation_atoms_used,match_ref_matches_count,match_prb_matches_count,match_total_pairings,match_mapping_is_unique,match_best_rmsd_is_tie,match_best_rmsd_second_best_delta,guest_smiles_original_debug,guest_smiles_matching_debug
A_Complex_A_midplaneZY (ref_unmodif),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\A_Complex_A_midplaneZY_(ref_unmodif).mol,,ref,ref,2,"147,28",147,77,28,15,15,1,1,-0.186406327,-0.186406327,31.091701631709356,,ref,0,ref,,,,ref,,,ref,0,,,,,,,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY ( 2A),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(_2A).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(_2A).csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-2.185518885,-2.185518885,31.091702069888484,1.9999947050448867,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.4956849511920165,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.35734875585471637,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY ( 2A_180y),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(_2A_180y).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(_2A_180y).csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-2.380848003,-2.380848003,32.61299006085151,5.692236506,ok,15,full_guest_strict,100,,0,ok,7.495684849816523,7.495684852949954,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.13348546122356542,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY ( 4A_complex),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(_4A_complex).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(_4A_complex).csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-0.186406365,3.7813493902216275,31.091701688673357,3.9999999880790726,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495684752,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.19011805859305309,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (-1charge),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(-1charge).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(-1charge).csv,ok,ok,2,"147,27",147,77,27,15,15,1,1,-0.186406327,-0.186406327,31.091701631709356,0,ok,15,full_guest_topology_relaxed,100,,1,ok,7.495684849816523,7.495684849816523,A: O151->O151 | B: C159->C159,15,1,4,4,1,0,0.8135370771980428,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[O-:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O-:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (-3A),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(-3A).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(-3A).csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,2.812776919437835,2.812776919437835,31.09170239766244,3.000049359765442,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495684969074956,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.24916370399553278,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (-50z),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(-50z).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(-50z).csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-0.061320118,-0.061320118,19.36011616769015,2.2080916790078366,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495599442949658,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.3224225730341712,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (180y),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(180y).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(180y).csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-0.381739766,-0.381739766,32.612990212321876,5.254013257403127,ok,15,full_guest_strict,100,,0,ok,7.495684849816523,7.495684916820495,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.1443323476504288,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (180y_complex),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(180y_complex).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(180y_complex).csv,ok,ok,2,"147,28",147,77,28,15,15,-0.971653035,0,-0.186406326,-1.272071382,31.091703260396788,5.364325306996547,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495684916820495,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.1414413028314172,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (180z),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(180z).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(180z).csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-0.299145918,-0.299145918,30.731593716233412,5.224526127838082,ok,15,full_guest_strict,100,,0,ok,7.495684849816523,7.495661334295189,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.12745476655242083,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
