entry_name,saved_mol_path,mapping_csv_path,mapping_status,overall_status,n_frags_in_input,frag_sizes_in_input,host_atoms_total,host_atoms_heavy_noH,guest_atoms_total,guest_atoms_heavy_noH,guest_ref_heavy_noH,cd_axis_dot_to_ref,cd_orientation_ok,guest_depth_A_from_midpoint_to_O6,guest_depth_A_from_ref_midpoint_to_O6,guest_angle_deg_vs_axis,guest_rmsd_noH,guest_rmsd_status,guest_atoms_used_in_rmsd,guest_match_mode,guest_full_match_coverage_percent,guest_mcs_coverage_percent,guest_orientation,guest_orientation_status,guest_orientation_span_A,guest_orientation_distance_A,guest_orientation_atom_pair,guest_orientation_atoms_used,match_ref_matches_count,match_prb_matches_count,match_total_pairings,match_mapping_is_unique,match_best_rmsd_is_tie,match_best_rmsd_second_best_delta,guest_smiles_original_debug,guest_smiles_matching_debug
A_Complex_AlphaCD_midplaneZY (ref_unmodif),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\A_Complex_AlphaCD_midplaneZY_(ref_unmodif).mol,,ref,ref,2,"126,15",126,66,15,10,10,0.9999999999999999,1,-1.907156528,-1.907156528,2.0532353978461195,,ref,0,ref,,,,ref,,,ref,0,,,,,,,REF=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1 | PRB=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1,REF=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1 | PRB=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1
Complex_AlphaCD_midplaneZY (-3A),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_AlphaCD_midplaneZY_(-3A).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_AlphaCD_midplaneZY_(-3A).csv,ok,ok,2,"126,15",126,66,15,10,10,0.9999999999999999,1,-4.90685175,-4.90685175,2.0532353777406875,3.000000014901162,ok,10,full_guest_strict,100,,1,ok,6.246485670980516,6.246485670980516,A: O127->O127 | B: O129->O129,10,1,7,7,1,0,0.15391637678502246,REF=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1 | PRB=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1,REF=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1 | PRB=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1
Complex_AlphaCD_midplaneZY (180y),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_AlphaCD_midplaneZY_(180y).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_AlphaCD_midplaneZY_(180y).csv,ok,ok,2,"126,15",126,66,15,10,10,0.9999999999999999,1,-2.790718776,-2.790718776,1.2901385949797552,4.099719526859005,ok,10,full_guest_strict,100,,0,ok,6.246485670980516,6.23304108,A: O127->O127 | B: O128->O129,10,1,7,7,0,1,0.099077478,REF=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1 | PRB=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1,REF=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1 | PRB=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1
Complex_AlphaCD_midplaneZY (180y_complex),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_AlphaCD_midplaneZY_(180y_complex).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_AlphaCD_midplaneZY_(180y_complex).csv,ok,ok,2,"126,15",126,66,15,10,10,-0.999693607,0,-1.907156472,-0.104151666,2.053234970099689,4.389997991107098,ok,10,full_guest_strict,100,,1,ok,6.246485670980516,6.233041207457761,A: O127->O127 | B: O128->O129,10,1,7,7,0,1,0.092666225,REF=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1 | PRB=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1,REF=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1 | PRB=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1
Complex_AlphaCD_midplaneZY(-50z),C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_AlphaCD_midplaneZY(-50z).mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_AlphaCD_midplaneZY(-50z).csv,ok,ok,2,"126,15",126,66,15,10,10,0.9999999999999999,1,-2.062868721,-2.062868721,48.398126866185116,1.731287368961774,ok,10,full_guest_strict,100,,1,ok,6.246485670980516,6.246509553402973,A: O127->O127 | B: O129->O129,10,1,7,7,1,0,0.24906457511490743,REF=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1 | PRB=[C:120]1([OH:127]):[CH:121]:[CH:122]:[C:123]([N:126](=[O-:128])=[O-:129]):[CH:124]:[CH:125]:1,REF=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1 | PRB=[C:120]1([O:127])[C:121][C:122][C:123]([N:126]([O-:128])[O-:129])[C:124][C:125]1
